rank,team,country,score
3805,Chambal Ke Daaku,India,92320
3806,AthenaAlgorithms,Germany,92296
3807,EnM making waves,United Kingdom,92226
3808,W Winter,United States,92157
3809,Trademaxxing,United Kingdom,92130
3810,1Rod1Reel,United States,92089
3811,TheBitterLesson,Germany,92061
3812,Cartel,India,92052
3813,Living_legends,India,92019
3814,Meow Meow,United States,91964
3815,Stochastic Silk Road,Australia,91916
3816,DegenTrader,Netherlands,91868
3817,hehe i trade,India,91780
3818,Hail_marq,India,91743
3819,Vector Alpha,India,91706
3820,one XIRECtion,United States,91699
3821,UW fobs,India,91634
3822,isfaquant,Vietnam,91630
3823,Glimmer,United States,91622
3824,Quantuser,India,91613
3825,officially employed,Singapore,91604
3826,Alfarabi Street,Kazakhstan,91567
3827,TradeMax,India,91559
3828,Team Yogurt Effect,Denmark,91492
3829,BFS,Germany,91480
3830,AtypicalAttempt,Australia,91468
3831,Optoutiver,United States,91407
3832,devious traders,Switzerland,91393
3833,Chester,United Kingdom,91380
3834,Black-Scholes Hole,Hungary,91379
3835,Team Alphas,India,91378
3836,Rajuu,India,91337
3837,Trade in Fate,India,91314
3838,GoldenHusky1,United States,91290
3839,NotRedFox,Australia,91272
3840,sudo dnf,India,91228
3841,BUNNY3149T,India,91179
3842,QuantHunter,India,91156
3843,Fermat,India,91153
3844,Darwinian Alpha,United Kingdom,91116
3845,enormous queue,Hong Kong,91085
3846,mindpalace,India,91061
3847,Cartel Dos Intara,India,91043
3848,Serenity,United Kingdom,91014
3849,StochasticProsDescent,Netherlands,90993
3850,Cypher0x,India,90966
3851,exploreAlpha,Hong Kong,90939
3852,DeeDevelopment,Spain,90859
3853,TEAM LUMEN,India,90835
3854,DAB,United States,90773
3855,Mixture Of Experts,India,90718
3856,T Cubed,United States,90652
3857,fbfbfb,United States,90555
3858,PLANCK,India,90539
3859,rwntrds,United States,90519
3860,International Villager,India,90461
3861,Cosmic Wolves,India,90429
3862,SraAkVipDe,India,90427
3863,OptionCatalyst,United States,90416
3864,Cosmic Quants,India,90351
3865,PS5,France,90347
3866,Windcreek Quants,United States,90344
3867,kebin,United States,90319
3868,Meow Capital,United Kingdom,90274
3869,Dark Matter Capital,India,90257
3870,Metandel,India,90164
3871,Gradient Ascent,United States,90160
3872,B Town,India,90106
3873,Chocolate,India,90102
3874,Vnst,Morocco,90085
3875,Locked In,Australia,90067
3876,Project Hail Oliver,Denmark,90056
3877,Organising Subcommittee,United Kingdom,90027
3878,Kosarajus first SCC,United States,89982
3879,oblivion,India,89935
3880,Daran Quant,United Kingdom,89898
3881,anewname,Australia,89882
3882,Wass,France,89768
3883,Deepblue,India,89709
3884,Liquidity Goons,United States,89661
3885,Heteroskedastic Hubris,India,89650
3886,PeterLP123,United Kingdom,89584
3887,13thHolyKnightOrder,India,89580
3888,Vegatron,France,89513
3889,Atom Trading,United States,89419
3890,PhysHelsinki,Finland,89408
3891,jawalrus,United States,89316
3892,caltech,United States,89300
3893,Pythia,United States,89269
3894,Trailblazers,India,89220
3895,AlBernsteinQuants,United States,89116
3896,Signal,United States,89067
3897,NOMIPE,India,89065
3898,Alpha Astronauts,India,89057
3899,heheboi,India,89019
3900,Les Frero Delavega,France,89016
3901,Muralight,United Kingdom,88941
3902,pandaland,United States,88934
3903,Claras Risk-Free Exit,United States,88901
3904,Zorax,India,88827
3905,Alpha Phoenix,Germany,88806
3906,NOBA,India,88764
3907,kirmada,India,88733
3908,BANANAS,India,88710
3909,Aeneas,Hong Kong,88612
3910,Code Titan,India,88586
3911,bae,South Korea,88584
3912,Feet,United States,88543
3913,Mannem,Canada,88522
3914,SwastikAI,India,88477
3915,Central Alpha,Hong Kong,88447
3916,2B,United States,88426
3917,REALISTIC,Singapore,88402
3918,purple,United Kingdom,88326
3919,Palm Beach Pete Team,France,88323
3920,Firmware,India,88315
3921,KIKIO,United Kingdom,88315
3922,Chugg Noris,Australia,88216
3923,Bound,Australia,88214
3924,NaiLong,United States,88214
3925,ComeLabroyeCS,France,88204
3926,KW,India,88172
3927,Terra_Australis,Australia,88153
3928,fight club,India,88151
3929,Gopher,India,88125
3930,SAttA,India,88064
3931,Fortuna,United States,88019
3932,ucla,United States,88017
3933,Give me a job,Japan,88016
3934,Bonobo,Sweden,87995
3935,Uranus,China,87994
3936,Please Give me a Job,Mexico,87981
3937,DuckDuckPi,Canada,87976
3938,Eric Chien,United States,87927
3939,traders4real,Italy,87906
3940,Beating the Bias,United States,87905
3941,JD19,United Kingdom,87898
3942,GTO warriors,United Kingdom,87897
3943,Logobi Trading Gang,France,87896
3944,bamboo,Australia,87892
3945,Systematic_Alpha,France,87867
3946,Sigma Strategies,Germany,87850
3947,winmaroon,United States,87830
3948,Athens,United Kingdom,87746
3949,Quantum Bulls,India,87726
3950,Tr0jan,India,87696
3951,Ninjas In Paris,India,87695
3952,JustHidingUmbrellas,United States,87675
3953,Dhurandhar 2,India,87674
3954,Tech Fusion,India,87656
3955,Draftic,Canada,87644
3956,Nandighosha,India,87541
3957,1stWorldMaster,India,87494
3958,Onix,Spain,87483
3959,Buy Low_Sell High,India,87473
3960,Maninder,India,87472
3961,Cricket,Italy,87447
3962,First-Timer,Australia,87379
3963,Vayu_Tech,India,87377
3964,RiceCooker,Switzerland,87281
3965,Umbra,India,87255
3966,Alphafly,Hong Kong,87214
3967,The DawgFathers,United States,87174
3968,dental studies,Algeria,87148
3969,Mrith,India,87074
3970,Gauntlet,United States,87035
3971,disgusting inter,Vietnam,87029
3972,gs008,India,86972
3973,jurush,New Zealand,86925
3974,2B9S,France,86842
3975,Prosperity Research,India,86822
3976,clfaang,United States,86778
3977,blackpearl,India,86777
3978,Khamedizers,United States,86761
3979,EthioMinilik,United States,86760
3980,Hardcore_Henry,India,86738
3981,Saving Pregnant Brian,Australia,86718
3982,C69,United Kingdom,86713
3983,IDK what to name,India,86674
3984,GK73,Mexico,86627
3985,Chainbreakers,Ireland,86604
3986,virtouz0,Australia,86575
3987,Starforge Traders,India,86568
3988,Janhavi,India,86500
3989,Tritons,United States,86460
3990,Aluminium Flat Bar,United Kingdom,86427
3991,Quant Nebula,India,86379
3992,Artemis,India,86326
3993,Sharpe Minds,United Kingdom,86304
3994,IMC applicants,Australia,86279
3995,Sigma Grindset,India,86264
3996,carnot,United Arab Emirates,86232
3997,Event Horizon Capital,France,86156
3998,opopteam,Australia,86132
3999,st,United Kingdom,86078
4000,Black Scholes Bandit,India,86063
4001,Glaedr,India,86055
4002,Wagamama,United Kingdom,86031
4003,The Bulls,India,85976
4004,NU-team,United States,85942
4005,goodteam,India,85789
4006,DebugThughs,India,85778
4007,EVnegative,Germany,85720
4008,JOY123,India,85574
4009,Noise,Canada,85549
4010,Flow State,United Kingdom,85484
4011,Flamme,India,85438
4012,Tangerines,India,85432
4013,Apollo 67,United States,85426
4014,Zero Gravity,India,85406
4015,Three Quanteers,India,85319
4016,Winner,India,85256
4017,NeedForGreed,India,85236
4018,Bakou Capital,France,85224
4019,Beberly tronas,Spain,85217
4020,Maynooth,Ireland,85151
4021,MUNI,France,85112
4022,Team Light,United States,85107
4023,ADISDELTA,United States,85091
4024,Prosper,India,85085
4025,hocdog9,Canada,85020
4026,Shadoww,Netherlands,84971
4027,NEKKU,India,84963
4028,2Sig,United States,84952
4029,Arizona State Quant,United States,84940
4030,Jack Of All Trades,India,84872
4031,shawyandotnet,United States,84813
4032,Kryon,India,84794
4033,Number1,China,84748
4034,dogecoin,Singapore,84733
4035,SheFromItalia,Denmark,84700
4036,Meowtrix,Switzerland,84699
4037,Pretty Princesses,United States,84605
4038,DevilQuantASU,United States,84493
4039,CASEN,Hong Kong,84492
4040,Algorithmic Avengers,India,84441
4041,Quant Hunter,India,84337
4042,Monte Carlo Mafia,India,84245
4043,SchrodingersCat,China,84216
4044,Niflheimr,United Kingdom,84205
4045,vibing_coders,United States,84121
4046,Chalghoum,Tunisia,84098
4047,Fork in the Michaelwave,United States,84087
4048,LastOfUs,India,84063
4049,JTrading,Italy,83967
4050,QuantBrazuca,Brazil,83906
4051,ProPandas,United States,83881
4052,akhrot_kachhua,India,83870
4053,DM_JJK,United States,83782
4054,Flc Lognang,France,83773
4055,HAIL,United States,83752
4056,My_Planet3,Hong Kong,83741
4057,Vulkan Traders,United Kingdom,83719
4058,Key Agreement Protocol,Croatia,83706
4059,Lone_Wolf_,India,83703
4060,Nutkuri,India,83689
4061,synapse,France,83672
4062,Popcorn,India,83593
4063,Payload,India,83590
4064,voLTE,India,83573
4065,Galactic Nemesis,United States,83501
4066,Profit Phantoms,India,83490
4067,Tphy,United States,83460
4068,gol-gappa,Canada,83424
4069,levAsh,India,83402
4070,Stephen OC,Ireland,83401
4071,AstroQuant,Poland,83374
4072,solarism,Norway,83367
4073,Band Ten Capital,Australia,83191
4074,Claude Opus 46,Australia,83190
4075,The Prophet of Profit,United States,83183
4076,Alpha Activist,Brazil,83100
4077,Corner Stone,India,83035
4078,qfs uncs,United States,82961
4079,QuantUoM,United Kingdom,82876
4080,Mathlions,South Africa,82835
4081,The_best,United States,82805
4082,Fighters,India,82772
4083,Nope,India,82713
4084,MoneyGrid,India,82702
4085,404 Profit Not Found,Netherlands,82603
4086,Planet Piper,New Zealand,82556
4087,no_one_comes_to_save_yo,India,82470
4088,ArcReactor,India,82409
4089,Blackstar,United States,82402
4090,SNRA,United Kingdom,82311
4091,The FUTURES,India,82296
4092,BuyBuyBuy,United States,82261
4093,House Atreides,India,82247
4094,IYKYK,India,82193
4095,Think Spice,India,82131
4096,watermelonjuice,Australia,82100
4097,Murli,United States,82094
4098,Debug Dynasty,India,82086
4099,Sui Generis,Canada,82064
4100,Band Gaps,Canada,82057
4101,Stratton Oakmont,United Kingdom,82055
4102,meh,India,82038
4103,My_Planet4,United Kingdom,82032
4104,QuantEdge,India,82009
4105,AckermanLevi,India,82002
4106,OE Bois,India,81965
4107,BKB Hayat ESILV,France,81958
4108,JobSeeker,Indonesia,81843
4109,The Quant Chalet,Switzerland,81834
4110,Kancorp Fund Management,India,81824
4111,Here Comes the Money,United Kingdom,81760
4112,SysAxis,India,81744
4113,valar_morghulis,India,81726
4114,Fuyu,United States,81712
4115,Twaders,India,81711
4116,Treble Express,Hong Kong,81704
4117,KPSC,India,81700
4118,intergalactic,France,81540
4119,columbia_alphas,United States,81498
4120,Sujith,United States,81407
4121,QUANT_TRADER_A,India,81317
4122,Figure out,India,81306
4123,prosperous markets,Brazil,81246
4124,DancingDragons,India,81171
4125,Mugiwars,India,81158
4126,GemZ,Switzerland,81097
4127,Karma,Vietnam,81012
4128,monkey business,United States,80899
4129,losers_iitk,India,80824
4130,no loss,United States,80693
4131,Kyros,India,80655
4132,teamMe,United Kingdom,80590
4133,Sparsh-Rastogi,India,80584
4134,VEDIC,India,80546
4135,AF,United States,80454
4136,50 Quant,United Kingdom,80426
4137,Siligen,Switzerland,80416
4138,MLB,Hungary,80259
4139,Vyora,India,80255
4140,DOSA,India,80254
4141,manish,India,80147
4142,subTLE,India,80134
4143,batra98,United States,80095
4144,JPG,United Kingdom,80007
4145,SmartPind,India,79983
4146,Alpha_ro,Romania,79938
4147,ucmsoc,United States,79905
4148,Some_random_name,India,79902
4149,give us internships,United States,79870
4150,CAPTAIN Maxwell,China,79866
4151,Jhust Landing,United States,79843
4152,shane,India,79813
4153,APEX,China,79782
4154,Eth1998,United Kingdom,79753
4155,PURESIGMA,Australia,79526
4156,berbertthemighty,United States,79501
4157,FiachMney,France,79495
4158,Quantum Alpha,Germany,79481
4159,SKYHIGH,India,79466
4160,Exp,United States,79452
4161,rithik,India,79450
4162,Ctrl Alt Del-ta,United States,79433
4163,Celestial Coders,India,79400
4164,Perenne,United Kingdom,79363
4165,andyisgoodatpoker,United States,79303
4166,Meatball Trader,United States,79294
4167,TheDaos,United States,79257
4168,Buy Low Cry High,India,79231
4169,log-bait,United States,79100
4170,Tectonic Traders,India,78996
4171,Alpha2Dingue,France,78991
4172,DogpardSecurities,Switzerland,78957
4173,Alpha_warrior,India,78901
4174,Endfield,India,78781
4175,Wolf of Wall street,India,78777
4176,paa,United States,78712
4177,imanifestcash,India,78675
4178,Sagittarius10X,Germany,78642
4179,CORNUCOPIA,Singapore,78624
4180,Baymax,India,78618
4181,To the Moon,United Kingdom,78577
4182,Kcoding,Romania,78564
4183,Geoffrey and Viktor,United States,78562
4184,Fortunate Folk,United States,78553
4185,T0999,India,78363
4186,Woxbridge,United Kingdom,78336
4187,old_men,Australia,78336
4188,JxL,Germany,78260
4189,FYAAA,United States,78068
4190,IMCPaglus,India,77858
4191,Symo,India,77826
4192,WODEDAODUN,China,77745
4193,The Liquidity Lab,United Kingdom,77526
4194,N3BUL4,India,77511
4195,soap makers,India,77475
4196,Thunkers,India,77447
4197,Death Star,India,77432
4198,destitution,India,77334
4199,24_kobe,United States,77313
4200,NAF,India,77288
4201,Gridline Quant Desk,Australia,77271
4202,Mark-Killian,France,77258
4203,Team Sansi,United Kingdom,77207
4204,HEPtoQuant,China,77176
4205,NotARobot,India,77147
4206,Rhoxys,Australia,77134
4207,Broherent Brohomology,United States,77122
4208,MiracleDog,United Kingdom,77104
4209,APlace,India,77069
4210,IMCooked2026,United Kingdom,77013
4211,Algorhythm,India,76792
4212,ARJUNA1,India,76780
4213,Frosty Alpha,United States,76741
4214,21st Century Boys,India,76622
4215,cooltraders,United States,76499
4216,oberon,India,76475
4217,SynthiaIsReal,United States,76422
4218,uiucsolodolo,United States,76410
4219,OTF,Canada,76372
4220,Axon,India,76332
4221,Dziki,Poland,76294
4222,Band of the hawk,India,76283
4223,StatArb Desk,Germany,76242
4224,TZTrader,India,76202
4225,LeonKennedy,United States,76050
4226,Codersx,India,76000
4227,Rampage,France,75835
4228,TLN INVESTMENT,Germany,75683
4229,Tenet Traders,Australia,75668
4230,heyheyhey,United States,75591
4231,Active Pro,India,75576
4232,RubiX_Syndicate,India,75474
4233,Mission JS,United Kingdom,75375
4234,Unordered_Map,India,75340
4235,SpaceTeam,France,75289
4236,Tall Power,United States,75289
4237,ECN,France,75287
4238,ND Quant,United States,75253
4239,ABD,Canada,75247
4240,Techies,India,75200
4241,TheoneandonlyAKTEAM,United States,75119
4242,Cache Money,United States,75057
4243,Team_Dhurandhar,India,74984
4244,Snipr-X,India,74831
4245,snow_bird,Canada,74804
4246,Winnerrr,India,74733
4247,Director,India,74714
4248,Atomic Sun,Spain,74668
4249,Stochastic Stars,India,74620
4250,money_mongers,India,74602
4251,Foodisgreat,India,74554
4252,The Maverick,India,74419
4253,EinsteinBros,United States,74354
4254,Kai Lin,United States,74328
4255,Team Rizin,Hong Kong,74317
4256,CutieQTs,United States,74288
4257,Edith,India,74132
4258,wolf of all streets,India,74127
4259,SuperNova,India,74113
4260,EVA Unit-01,India,74108
4261,Enigma000,India,73945
4262,project_hail_alpha,United States,73879
4263,Data Seeker,Hong Kong,73850
4264,The Hidden Alpha,India,73832
4265,Trading Ninja,United States,73785
4266,SmashCoins,Hong Kong,73749
4267,LeSu,India,73748
4268,Curry Dumplings,Australia,73713
4269,ISEL,India,73704
4270,0ne,India,73702
4271,Elicas Capital,Italy,73649
4272,rosemary,United States,73620
4273,hocuspocuslocusbocus,India,73582
4274,all goods,France,73300
4275,lazy boys,India,73276
4276,E212,India,73203
4277,TreknTrade,United Kingdom,73083
4278,TankToast,Australia,72736
4279,Los Frarros,Brazil,72693
4280,Hawk,United Kingdom,72679
4281,idekman,United Kingdom,72579
4282,cheezyTrade,India,72557
4283,black,Netherlands,72538
4284,Elroi Quant,India,72383
4285,RocketTraders,Germany,72378
4286,Atreides for Prosperity,Germany,72348
4287,Indon,Indonesia,72330
4288,Tbc,Hong Kong,72256
4289,Arcane Squad,United Kingdom,72177
4290,Fml,India,72163
4291,Prodigy,India,72111
4292,Hack Nova,India,72108
4293,NEX,India,72106
4294,Tradurrs,India,72105
4295,Dantes Trading,Netherlands,71936
4296,Code Snatchers,India,71902
4297,Traderxalpha,India,71883
4298,X07,United States,71800
4299,Skibidi Tentafruit,France,71766
4300,139,United Kingdom,71500
4301,KashiKeKoders,India,71462
4302,Glizard Lizards at GT,United States,71380
4303,Manifold,Germany,71358
4304,Techbees,India,71190
